Population	N	Mean	SD	SE	CI95
AFR	661	0.004542619556630695	0.09929045951153648	0.0038619512814731505	0.00758319168580234
AMR	347	-0.2592484578756034	0.1046086380049942	0.005615685921818186	0.011045177589569936
EAS	504	-0.3560018760984825	0.10333532316601063	0.004602921133794953	0.009043319591129993
EUR	503	-0.26023014298512387	0.10852035341509807	0.004838683402359156	0.009506565368736558
SAS	489	-0.3042014383789542	0.10166078388447941	0.004597259559796104	0.009032866004258048
