super_pop	N	Mean	SD	Median	Min	Max	SE
AFR	661	0.004542619556630698	0.09929045951153646	0.0034533270167998	-0.3192775724774718	0.2624738163473998	0.00386195128147315
AMR	347	-0.2592484578756034	0.10460863800499422	-0.2636242269643998	-0.5103705126432001	0.0201636946976001	0.0056156859218181865
EAS	504	-0.35600187609848244	0.10333532316601061	-0.36157909380119985	-0.6564591085305996	0.0055317518702002	0.004602921133794952
EUR	503	-0.2602301429851238	0.10852035341509807	-0.2699633242061994	-0.5485199056261996	0.1284373797294	0.004838683402359156
SAS	489	-0.30420143837895425	0.1016607838844794	-0.3062099274185998	-0.5712810985026	0.0391906448956001	0.004597259559796103
