Metric	Value
N	2504.0
Mean	-0.218063799599985
SD	0.17203052426690837
Minimum	-0.6564591085305996
25th_percentile	-0.34832186764554984
Median	-0.25085472222700006
75th_percentile	-0.09423707710933224
Maximum	0.2624738163473998
