Superpopulation	N	Mean_PRS	SD	Median	Min	Q1	Q3	Max	SE
AFR	661	-0.9939070602757942	0.7702873680814785	-0.9954718999999992	-4.388343100000001	-1.4881439999999997	-0.4848882000000009	1.2711563600000002	0.029960706223936904
AMR	347	-3.140356032725072	0.9382749067305153	-3.272943	-5.558169800000001	-3.7713984499999995	-2.683883850000001	1.1287029000000004	0.050369236088039615
EAS	504	-3.041564852564484	0.7264478623000672	-3.0541303500000003	-5.2018573	-3.4961402649999993	-2.579507375000001	-0.4990778999999999	0.032358559643823635
EUR	503	-3.27221174233996	1.0759685601639595	-3.3913032000000007	-6.385442579999999	-4.025326125000001	-2.57446705	0.4609229000000004	0.047975066885483426
SAS	489	-2.6463716289591	0.7811609190771984	-2.68490517	-4.8775754	-3.1407412	-2.0936671	-0.3734629200000006	0.03532531784377703
