	AFR	AMR	EAS	EUR	SAS
AFR	1.0	4.730097651040688e-145	1.4101093368071363e-158	4.4510188679910305e-196	9.675334968730026e-93
AMR	4.730097651040688e-145	1.0	0.20445872468311585	0.3398608258020923	3.478752814850987e-11
EAS	1.4101093368071363e-158	0.20445872468311585	1.0	0.012491712768720362	2.843187080572126e-08
EUR	4.4510188679910305e-196	0.3398608258020923	0.012491712768720362	1.0	3.7040760356156615e-17
SAS	9.675334968730026e-93	3.478752814850987e-11	2.843187080572126e-08	3.7040760356156615e-17	1.0
