	AFR	AMR	EAS	EUR	SAS
AFR	1.0	1.913645075854314e-65	1.9861539854283252e-14	3.024235752692248e-285	2.0370951330150336e-54
AMR	1.913645075854314e-65	1.0	8.214413963426393e-22	8.467769193012519e-46	0.003229201978250464
EAS	1.9861539854283252e-14	8.214413963426393e-22	1.0	2.5601146792695945e-155	1.9213756224454188e-13
EUR	3.024235752692248e-285	8.467769193012519e-46	2.5601146792695945e-155	1.0	1.7031169707032784e-79
SAS	2.0370951330150336e-54	0.003229201978250464	1.9213756224454188e-13	1.7031169707032784e-79	1.0
