Superpopulation	N	Mean_PRS	SD_PRS	Median_PRS	Min_PRS	Q1_PRS	Q3_PRS	Max_PRS	SE
AFR	661	-21.723643570347956	1.4270701107966108	-21.694199999999995	-26.0719	-22.6781	-20.768400000000003	-17.444000000000006	0.05550659419098218
AMR	347	-22.42210778097983	2.041244470500701	-22.4361	-27.9456	-23.77	-20.974849999999996	-16.6778	0.10957974460419549
EAS	504	-22.001932936507938	1.4708012201150626	-21.9723	-26.048600000000004	-23.037875	-20.924175000000005	-18.1504	0.06551469344904345
EUR	503	-21.912021868787278	1.9615883000475283	-21.851700000000005	-27.4962	-23.19615	-20.4842	-16.0893	0.08746289936410552
SAS	489	-21.20368507157464	1.6576525548820578	-21.20779999999999	-26.5407	-22.289200000000005	-20.0123	-16.9058	0.07496163971558185
