IID	PRS	PRS_Risk_Group	PRS_Percentile	sample	pop	super_pop	gender
NA18614	0.8835561200000002	Intermediate	62.77955271565495	NA18614	CHB	EAS	female
NA18615	0.7336722	Intermediate	48.12300319488818	NA18615	CHB	EAS	female
NA18616	1.3254094700000003	High	98.28274760383388	NA18616	CHB	EAS	female
NA18617	0.840187013	Intermediate	57.587859424920126	NA18617	CHB	EAS	female
NA18618	0.5110701200000001	Intermediate	29.752396166134183	NA18618	CHB	EAS	female
NA18619	0.63161322	Intermediate	39.177316293929714	NA18619	CHB	EAS	female
NA18620	1.2016299499999996	High	93.7300319488818	NA18620	CHB	EAS	male
NA18621	1.52221459	High	99.84025559105432	NA18621	CHB	EAS	male
NA18622	0.8844292700000002	Intermediate	62.89936102236422	NA18622	CHB	EAS	male
NA18623	0.7893720999999998	Intermediate	52.55591054313099	NA18623	CHB	EAS	male
NA18624	0.7769414900000002	Intermediate	51.43769968051119	NA18624	CHB	EAS	male
NA18625	1.1424447300000005	High	89.61661341853035	NA18625	CHB	EAS	female
NA18626	0.8069671600000001	Intermediate	54.03354632587859	NA18626	CHB	EAS	female
NA18627	0.7913027180000001	Intermediate	52.7555910543131	NA18627	CHB	EAS	female
NA18628	1.04327231	High	80.79073482428115	NA18628	CHB	EAS	female
NA18629	0.85032456	Intermediate	58.30670926517571	NA18629	CHB	EAS	male
NA18630	0.421450914	Intermediate	25.159744408945688	NA18630	CHB	EAS	female
NA18631	0.91497021	Intermediate	66.61341853035144	NA18631	CHB	EAS	female
NA18632	0.7407108299999999	Intermediate	48.8817891373802	NA18632	CHB	EAS	male
NA18633	1.2346444400000005	High	95.4073482428115	NA18633	CHB	EAS	male
NA18634	0.5800245700000001	Intermediate	35.063897763578275	NA18634	CHB	EAS	female
NA18635	0.8322102600000001	Intermediate	56.74920127795527	NA18635	CHB	EAS	male
NA18636	0.97560466	Intermediate	74.28115015974441	NA18636	CHB	EAS	male
NA18637	0.9980185	Intermediate	76.43769968051119	NA18637	CHB	EAS	male
NA18638	0.871542487	Intermediate	61.06230031948881	NA18638	CHB	EAS	male
