	AFR	AMR	EAS	EUR	SAS
AFR	1.0	1.4934606933942916e-07	0.015703012917860696	0.19452972698046517	2.7047307065647714e-06
AMR	1.4934606933942916e-07	1.0	0.012482861311126544	0.0004528917391709643	9.907373590554196e-21
EAS	0.015703012917860696	0.012482861311126544	1.0	0.2877288620360061	1.8769096681094996e-12
EUR	0.19452972698046517	0.0004528917391709643	0.2877288620360061	1.0	2.6305414307321105e-09
SAS	2.7047307065647714e-06	9.907373590554196e-21	1.8769096681094996e-12	2.6305414307321105e-09	1.0
