	AFR	AMR	EAS	EUR	SAS
AFR	1.0	1.0280204452045565e-93	1.0410085830962257e-261	9.177687026619503e-121	3.637941728539918e-174
AMR	1.0280204452045565e-93	1.0	9.438287200171573e-22	0.7719060935836262	1.4194176000797083e-05
EAS	1.0410085830962257e-261	9.438287200171573e-22	1.0	7.290272292664764e-25	3.647956435052778e-08
EUR	9.177687026619503e-121	0.7719060935836262	7.290272292664764e-25	1.0	1.020546742313252e-05
SAS	3.637941728539918e-174	1.4194176000797083e-05	3.647956435052778e-08	1.020546742313252e-05	1.0
