Superpopulation	N	Mean	SD	Median	Min	Q1	Q3	Max	SE
AFR	661	-0.6099706626323752	0.20308922200808976	-0.6096330000000001	-1.3572380000000006	-0.7471109999999999	-0.469876	0.1052569999999999	0.00789925522599075
AMR	347	-0.8562840922190202	0.31517369288465713	-0.8545650000000002	-2.047594	-1.0501495	-0.664293	0.206117	0.01691941032608912
EAS	504	-0.798133271825397	0.24428062044025406	-0.8068110000000001	-1.515103	-0.95889575	-0.62628	0.003725	0.010881123665666643
EUR	503	-1.1452632087475152	0.29611482242942266	-1.1589710000000002	-1.888865	-1.3544950000000004	-0.9471620000000001	-0.3113019999999999	0.013203107356287274
SAS	489	-0.9502731717791411	0.27808901464081004	-0.961771	-1.772263	-1.147436	-0.7495130000000001	-0.1388179999999999	0.012575619940964507
