	AFR	AMR	EAS	EUR	SAS
AFR	1.0	1.7291913687888046e-35	6.6943843177192e-28	5.760479734163446e-172	8.105889519125066e-80
AMR	1.7291913687888046e-35	1.0	0.010540491402667964	1.9803840938441816e-31	3.6388517369614176e-05
EAS	6.6943843177192e-28	0.010540491402667964	1.0	4.193646300221554e-56	1.3046435212141153e-13
EUR	5.760479734163446e-172	1.9803840938441816e-31	4.193646300221554e-56	1.0	6.609994096858869e-16
SAS	8.105889519125066e-80	3.6388517369614176e-05	1.3046435212141153e-13	6.609994096858869e-16	1.0
