IID	PRS	Risk_Group	pop	super_pop	gender
NA21091	-2.6082586999999995	Intermediate	GIH	SAS	male
NA21092	-1.8798944999999991	Intermediate	GIH	SAS	male
NA21093	-3.4677903000000003	Intermediate	GIH	SAS	male
NA21094	-2.2129700000000003	Intermediate	GIH	SAS	male
NA21095	-3.7580155	Low	GIH	SAS	male
NA21097	-2.5456727000000003	Intermediate	GIH	SAS	female
NA21098	-2.2012893199999994	Intermediate	GIH	SAS	male
NA21099	-2.106636100000001	Intermediate	GIH	SAS	male
NA21100	-2.2021791	Intermediate	GIH	SAS	male
NA21101	-2.8160268100000003	Intermediate	GIH	SAS	female
NA21102	-0.9813096	High	GIH	SAS	female
NA21103	-3.5858481	Low	GIH	SAS	female
NA21104	-4.037296900000001	Low	GIH	SAS	male
NA21105	-3.5964424300000006	Low	GIH	SAS	male
NA21106	-2.8908765000000005	Intermediate	GIH	SAS	female
NA21107	-2.3453822	Intermediate	GIH	SAS	male
NA21108	-3.9381419	Low	GIH	SAS	female
NA21109	-3.3795859000000004	Intermediate	GIH	SAS	male
NA21110	-2.839688600000001	Intermediate	GIH	SAS	female
NA21111	-1.8476630999999992	Intermediate	GIH	SAS	male
NA21112	-1.9085712	Intermediate	GIH	SAS	male
NA21113	-3.2545961000000005	Intermediate	GIH	SAS	male
NA21114	-2.9202509	Intermediate	GIH	SAS	male
NA21115	-2.68490517	Intermediate	GIH	SAS	male
NA21116	-2.5836863000000005	Intermediate	GIH	SAS	male
NA21117	-2.05290295	Intermediate	GIH	SAS	male
NA21118	-1.0125801	High	GIH	SAS	male
NA21119	-1.0899211000000006	High	GIH	SAS	male
NA21120	-3.1265690000000004	Intermediate	GIH	SAS	female
NA21122	-3.2378709000000003	Intermediate	GIH	SAS	female
NA21123	-3.1113903999999994	Intermediate	GIH	SAS	male
NA21124	-2.1978397	Intermediate	GIH	SAS	male
NA21125	-2.0513322999999994	Intermediate	GIH	SAS	female
NA21126	-1.8304764400000009	Intermediate	GIH	SAS	male
NA21127	-2.894592	Intermediate	GIH	SAS	male
NA21128	-2.2921951	Intermediate	GIH	SAS	male
NA21129	-2.48394452	Intermediate	GIH	SAS	male
NA21130	-1.9506190999999995	Intermediate	GIH	SAS	male
NA21133	-1.4918297999999997	Intermediate	GIH	SAS	male
NA21135	-3.0312845299999984	Intermediate	GIH	SAS	male
NA21137	-2.3386060100000003	Intermediate	GIH	SAS	female
NA21141	-2.7942699	Intermediate	GIH	SAS	female
NA21142	-2.8546969000000004	Intermediate	GIH	SAS	female
NA21143	-2.8652630999999995	Intermediate	GIH	SAS	female
NA21144	-1.4003110099999998	Intermediate	GIH	SAS	female
