Population_1	Population_2	Holm_adjusted_P_value	Significant_at_0.05	Significance	Mean_1	Mean_2	Mean_Difference
AFR	EAS	1.0410085830962257e-261	True	***	0.004542619556630698	-0.35600187609848244	0.36054449565511315
AFR	SAS	3.637941728539918e-174	True	***	0.004542619556630698	-0.30420143837895425	0.30874405793558496
AFR	EUR	9.177687026619503e-121	True	***	0.004542619556630698	-0.2602301429851238	0.2647727625417545
AFR	AMR	1.0280204452045565e-93	True	***	0.004542619556630698	-0.2592484578756034	0.2637910774322341
EAS	EUR	7.290272292664764e-25	True	***	-0.35600187609848244	-0.2602301429851238	-0.09577173311335863
AMR	EAS	9.438287200171573e-22	True	***	-0.2592484578756034	-0.35600187609848244	0.09675341822287903
EAS	SAS	3.647956435052778e-08	True	***	-0.35600187609848244	-0.30420143837895425	-0.05180043771952819
EUR	SAS	1.020546742313252e-05	True	***	-0.2602301429851238	-0.30420143837895425	0.043971295393830434
AMR	SAS	1.4194176000797083e-05	True	***	-0.2592484578756034	-0.30420143837895425	0.04495298050335084
