IID	PRS
HG00608	-23.560000000000002
HG00610	-23.263200000000005
HG00611	-23.7709
HG00613	-22.034000000000002
HG00614	-21.052400000000002
HG00619	-24.7734
HG00620	-19.568500000000004
HG00622	-22.403400000000005
HG00623	-19.863500000000002
HG00625	-23.4404
HG00626	-20.754900000000003
HG00628	-23.8658
HG00629	-23.356399999999997
HG00631	-22.697599999999994
HG00632	-21.928599999999992
HG00634	-20.7734
HG00637	-23.218600000000006
HG00638	-21.781199999999995
HG00640	-23.7569
HG00641	-22.422000000000004
HG00650	-20.270499999999995
HG00651	-21.939700000000002
HG00653	-20.7773
HG00654	-23.8224
HG00656	-23.58470000000001
HG00657	-22.463200000000004
HG00662	-22.976300000000002
HG00663	-23.8834
HG00671	-22.8861
HG00672	-21.6445
HG00674	-22.6218
HG00675	-22.6325
HG00683	-23.388400000000008
HG00684	-23.5706
HG00689	-20.788200000000003
HG00690	-23.35029999999999
HG00692	-22.137500000000003
HG00693	-20.588199999999993
HG00698	-21.292100000000012
HG00699	-21.572400000000002
HG00701	-21.689099999999996
HG00704	-21.626499999999997
HG00705	-20.770099999999992
HG00707	-19.9971
HG00708	-23.229800000000008
HG00717	-22.890000000000004
HG00728	-21.597499999999997
HG00729	-22.8351
HG00731	-19.474000000000004
HG00732	-27.246799999999997
HG00734	-21.141099999999998
HG00736	-18.222899999999996
HG00737	-21.185000000000002
HG00739	-25.538600000000002
HG00740	-26.195400000000006
HG00742	-20.250199999999996
HG00743	-23.74150000000001
HG00759	-18.669999999999995
HG00766	-22.6935
HG00844	-21.7865
HG00851	-22.190200000000004
HG00864	-24.023199999999996
HG00867	-23.071699999999996
HG00879	-22.8612
HG00881	-20.66209999999999
HG00956	-21.4423
HG00978	-23.4737
HG00982	-20.9762
HG01028	-22.029599999999995
HG01029	-21.237500000000004
HG01031	-23.810600000000004
HG01046	-21.9939
HG01047	-20.707700000000006
HG01048	-23.462100000000003
HG01049	-20.269899999999996
HG01051	-22.1728
HG01052	-23.6462
HG01054	-23.377400000000005
HG01055	-21.324299999999997
HG01058	-24.621299999999998
HG01060	-21.966699999999996
HG01061	-20.7312
HG01063	-21.382499999999997
HG01064	-21.241
HG01066	-18.395699999999994
HG01067	-22.221500000000006
HG01069	-20.304600000000004
HG01070	-18.787099999999995
HG01072	-21.9383
HG01073	-19.716300000000004
HG01075	-23.090200000000003
HG01077	-22.942099999999996
HG01079	-20.4716
HG01080	-21.9779
HG01082	-23.3662
HG01083	-23.8115
HG01085	-18.7445
HG01086	-21.5855
HG01088	-20.8955
HG01089	-23.9682
HG01092	-23.452800000000003
HG01094	-23.421599999999998
HG01095	-18.59820000000001
HG01097	-20.259600000000002
HG01098	-19.436100000000003
HG01101	-19.990399999999994
HG01102	-23.867600000000003
HG01104	-18.7991
HG01105	-19.492999999999995
HG01107	-23.7086
HG01108	-23.849100000000004
HG01110	-21.924699999999998
HG01111	-23.7125
