IID	PRS
HG00096	-0.27017118900000014
HG00097	-0.40593524000000003
HG00099	0.16025185999999997
HG00100	0.24216228000000004
HG00101	-0.351910329
HG00102	0.5123662400000001
HG00103	-0.13293532
HG00105	0.7976424400000002
HG00106	0.23619703999999997
HG00107	0.08237869000000003
HG00108	0.21213778999999996
HG00109	-0.26341109199999996
HG00110	0.2736487999999999
HG00111	-0.029077270000000002
HG00112	-0.18999617
HG00113	-0.0062932700000000175
HG00114	0.023272079999999914
HG00115	0.08016973199999997
HG00116	-0.19468668000000003
HG00117	-0.42403910000000006
HG00118	0.13651330500000003
HG00119	-0.2955098199999999
HG00120	0.46952069999999996
HG00121	0.1509925300000001
HG00122	-0.501401786
HG00123	0.09798741299999997
HG00125	-0.4223404100000001
HG00126	-0.19732295000000005
HG00127	-0.15475952999999992
HG00128	0.18905855
HG00129	0.43768353
HG00130	-0.01931075000000004
HG00131	-0.17389475000000007
HG00132	-0.39331110999999985
HG00133	-0.11852383999999992
HG00136	-0.39695117999999996
HG00137	0.2839144800000001
HG00138	-0.2938060599999999
HG00139	-0.33485252000000015
HG00140	0.07740284000000001
HG00141	0.06241524999999998
HG00142	-0.08189073
HG00143	0.03978400999999998
HG00145	-0.20311022999999995
HG00146	-0.2649418839999999
HG00148	0.2268889000000001
HG00149	-0.23011252999999998
HG00150	-0.4207927200000001
HG00151	-0.2944905199999998
HG00154	-0.2864018800000001
HG00155	0.12760951999999998
HG00157	0.3493033
HG00158	-0.37302609000000014
HG00159	0.23199530000000007
HG00160	-0.07535990000000006
HG00171	0.4931606399999999
HG00173	-0.025037619999999993
HG00174	-0.03440589000000002
HG00176	0.5101605100000001
HG00177	-0.31289663
HG00178	0.7216263500000001
HG00179	-0.10513274999999994
HG00180	0.28169354
HG00181	0.05341488000000001
HG00182	0.25838980999999994
HG00183	0.13873158499999996
HG00185	0.287932
HG00186	0.70663903
HG00187	0.3029549199999999
HG00188	0.40398282999999996
HG00189	0.28029839
HG00190	0.36754487999999996
HG00231	0.11203263345000002
HG00232	0.23854584700000003
HG00233	0.12515099000000007
HG00234	-0.38069067999999995
HG00235	-0.362448617
HG00236	0.03957636
HG00237	-0.3645568350000001
HG00238	0.59203416
HG00239	0.5388203100000001
HG00240	-0.039272219999999955
HG00242	-0.05469324999999997
HG00243	-0.5602509820000001
HG00244	0.31571264000000004
HG00245	-0.17422432999999998
HG00246	0.7310668
HG00250	0.35255684199999987
HG00251	-0.39770886110000014
HG00252	-0.036925400000000046
HG00253	0.15952022
