Disease	PGS_ID	Risk_Group	N	Percentage	Threshold_P20	Threshold_P80	Mean_PRS	SD_PRS	Median_PRS	Min_PRS	Max_PRS
Major depressive disorder	PGS000907	Low	501	20.007987220447284	-1.1363566	-0.5712055999999999	-1.330625764471058	0.1596756087006291	-1.2853439999999996	-2.047594	-1.136458
Major depressive disorder	PGS000907	Intermediate	1502	59.98402555910543	-1.1363566	-0.5712055999999999	-0.841162638482024	0.15482859535909987	-0.8365565000000001	-1.136289	-0.5712539999999998
Major depressive disorder	PGS000907	High	501	20.007987220447284	-1.1363566	-0.5712055999999999	-0.42567173852295404	0.1166020463092715	-0.4522739999999999	-0.571133	0.206117
