super_pop	N	Mean	SD	Median	Min	Q1	Q3	Max	SE
AFR	661	-0.17587201894714358	0.20834985623165803	-0.1725214536358999	-0.80596858468012	-0.321843301778	-0.0261405826989	0.5442362542441999	0.008103870182765226
AMR	347	-0.06913578569322185	0.3261894128283103	-0.0649854910414998	-0.969601866978	-0.28635967796005013	0.130448273446	0.7300835448709999	0.01751076515668458
EAS	504	0.25376236735422153	0.20776704937443588	0.24420706911714984	-0.2517331176189999	0.11526748664827495	0.40151329277375	0.931182230545	0.009254679940715289
EUR	503	-0.3429491216877362	0.338995276146937	-0.3478007971049999	-1.2400753491570002	-0.5669155855005501	-0.11088276046475	0.8552640464754	0.015115052287897678
SAS	489	-0.07013545806184798	0.2530933384661272	-0.0610589449761999	-0.8847504488947	-0.238913592699	0.0948662227458001	0.9265212186631	0.011445276391988864
