IID	PRS	PRS_Group
HG01694	-22.393799999999995	Intermediate
HG01695	-22.9141	Intermediate
HG01697	-20.168699999999998	High
HG01699	-26.0748	Low
HG01700	-21.7057	Intermediate
HG01702	-21.2521	Intermediate
HG01704	-21.1221	Intermediate
HG01705	-20.729700000000005	Intermediate
HG01707	-22.806599999999992	Intermediate
HG01708	-20.102500000000003	High
HG01709	-22.484100000000005	Intermediate
HG01710	-20.4777	Intermediate
HG01746	-22.394	Intermediate
HG01747	-25.899	Low
HG01756	-20.111300000000004	High
HG01757	-22.1486	Intermediate
HG01761	-23.327900000000003	Low
HG01762	-22.564100000000003	Intermediate
HG01765	-23.8811	Low
HG01766	-20.6618	Intermediate
HG01767	-22.4419	Intermediate
HG01768	-18.1937	High
HG01770	-19.6187	High
HG01771	-20.0208	High
HG01773	-21.9391	Intermediate
HG01775	-18.912900000000004	High
HG01776	-21.3264	Intermediate
HG01777	-22.131599999999995	Intermediate
HG01779	-20.487700000000004	Intermediate
HG01781	-18.793500000000005	High
HG01783	-21.747300000000006	Intermediate
HG01784	-21.124600000000008	Intermediate
HG01785	-20.0212	High
HG01786	-18.8028	High
HG01789	-23.9402	Low
HG01790	-22.813099999999995	Intermediate
HG01791	-22.0089	Intermediate
HG01794	-21.0373	Intermediate
HG01795	-23.3929	Low
HG01796	-21.264000000000003	Intermediate
HG01797	-21.1005	Intermediate
HG01798	-20.3646	Intermediate
HG01799	-20.3068	High
HG01800	-22.7032	Intermediate
HG01801	-21.409900000000007	Intermediate
HG01802	-21.610899999999997	Intermediate
HG01804	-20.1179	High
HG01805	-22.927900000000005	Intermediate
HG01806	-23.118399999999998	Intermediate
HG01807	-24.4173	Low
HG01808	-21.3546	Intermediate
HG01809	-23.614500000000003	Low
HG01810	-22.807299999999994	Intermediate
HG01811	-22.1663	Intermediate
HG01812	-24.1308	Low
HG01813	-21.15340000000001	Intermediate
HG01815	-25.5546	Low
HG01816	-24.0603	Low
HG01817	-21.0717	Intermediate
HG01840	-22.0388	Intermediate
HG01841	-20.4175	Intermediate
HG01842	-21.168800000000008	Intermediate
HG01843	-21.2706	Intermediate
HG01844	-24.644900000000007	Low
HG01845	-22.397	Intermediate
HG01846	-21.6407	Intermediate
HG01847	-20.3687	Intermediate
HG01848	-20.2645	High
HG01849	-20.7435	Intermediate
HG01850	-20.3577	Intermediate
HG01851	-19.1195	High
HG01852	-21.138000000000005	Intermediate
HG01853	-24.792699999999996	Low
HG01855	-24.0415	Low
HG01857	-19.1422	High
HG01858	-22.0507	Intermediate
HG01859	-24.733000000000004	Low
HG01860	-22.216	Intermediate
HG01861	-23.20340000000001	Intermediate
HG01862	-22.4527	Intermediate
HG01863	-23.6288	Low
HG01864	-22.453500000000005	Intermediate
HG01865	-22.757200000000005	Intermediate
HG01866	-19.95490000000001	High
HG01867	-22.8994	Intermediate
HG01868	-21.3071	Intermediate
HG01869	-22.554399999999998	Intermediate
HG01870	-19.8619	High
HG01871	-20.180600000000005	High
HG01872	-20.7218	Intermediate
HG01873	-19.6748	High
HG01874	-22.353000000000005	Intermediate
HG01878	-20.7543	Intermediate
HG01879	-21.291599999999995	Intermediate
HG01880	-21.9285	Intermediate
HG01882	-22.6311	Intermediate
HG01883	-22.2994	Intermediate
HG01885	-21.04669999999999	Intermediate
HG01886	-20.883	Intermediate
HG01889	-24.047300000000003	Low
HG01890	-22.1067	Intermediate
HG01892	-22.1194	Intermediate
HG01893	-21.5742	Intermediate
HG01894	-21.1676	Intermediate
HG01896	-23.4673	Low
HG01912	-21.5665	Intermediate
HG01914	-21.518200000000004	Intermediate
HG01915	-20.1177	High
HG01917	-23.2075	Intermediate
HG01918	-22.8753	Intermediate
HG01920	-25.054900000000007	Low
HG01921	-21.23399999999999	Intermediate
HG01923	-22.1563	Intermediate
HG01924	-23.7092	Low
HG01926	-23.99130000000001	Low
HG01927	-27.12090000000001	Low
HG01932	-20.1476	High
HG01933	-21.8453	Intermediate
HG01935	-21.9094	Intermediate
HG01936	-22.41710000000001	Intermediate
HG01938	-25.111300000000004	Low
HG01939	-24.7735	Low
HG01941	-24.4209	Low
HG01942	-24.0393	Low
HG01944	-24.551	Low
HG01945	-25.018500000000003	Low
HG01947	-21.7679	Intermediate
HG01948	-22.2956	Intermediate
HG01950	-26.5482	Low
HG01951	-22.435199999999995	Intermediate
HG01953	-25.87	Low
HG01954	-21.9797	Intermediate
HG01956	-22.6251	Intermediate
HG01958	-22.4719	Intermediate
HG01961	-22.198	Intermediate
HG01965	-25.1714	Low
HG01967	-25.298	Low
HG01968	-22.8502	Intermediate
HG01970	-24.7411	Low
HG01971	-21.915299999999995	Intermediate
HG01973	-24.2697	Low
HG01974	-23.9238	Low
HG01976	-25.7484	Low
HG01977	-21.9316	Intermediate
HG01979	-25.319400000000005	Low
HG01980	-27.4731	Low
HG01982	-21.4757	Intermediate
HG01985	-22.2155	Intermediate
HG01986	-22.13340000000001	Intermediate
HG01988	-21.852200000000003	Intermediate
HG01989	-24.8868	Low
HG01990	-21.2131	Intermediate
HG01991	-25.6705	Low
HG01992	-20.636700000000005	Intermediate
HG01997	-25.1319	Low
HG02002	-23.9378	Low
HG02003	-21.3673	Intermediate
HG02006	-21.7267	Intermediate
HG02008	-22.6636	Intermediate
HG02009	-22.2305	Intermediate
HG02010	-17.459900000000005	High
HG02012	-22.61819999999999	Intermediate
HG02013	-22.250200000000003	Intermediate
HG02014	-24.0482	Low
HG02016	-23.1352	Intermediate
HG02017	-20.2165	High
HG02019	-20.0982	High
HG02020	-21.5981	Intermediate
HG02023	-23.1195	Intermediate
HG02025	-20.432600000000004	Intermediate
HG02026	-22.869	Intermediate
HG02028	-20.002	High
HG02029	-24.1635	Low
HG02031	-19.543000000000003	High
HG02032	-22.1182	Intermediate
HG02035	-19.559000000000005	High
HG02040	-21.571700000000003	Intermediate
HG02047	-24.400299999999994	Low
HG02048	-21.1146	Intermediate
HG02049	-23.3391	Low
HG02050	-22.047100000000004	Intermediate
HG02051	-23.0167	Intermediate
HG02052	-24.1081	Low
HG02053	-24.9853	Low
HG02054	-22.3205	Intermediate
HG02057	-21.7531	Intermediate
HG02058	-20.435599999999997	Intermediate
HG02060	-22.8421	Intermediate
HG02061	-25.3336	Low
HG02064	-20.4644	Intermediate
HG02067	-22.9584	Intermediate
HG02069	-20.61659999999999	Intermediate
HG02070	-21.698100000000004	Intermediate
HG02072	-20.5843	Intermediate
HG02073	-21.9167	Intermediate
HG02075	-22.4448	Intermediate
HG02076	-20.806800000000003	Intermediate
HG02078	-21.35580000000001	Intermediate
HG02079	-22.1061	Intermediate
HG02081	-21.3856	Intermediate
HG02082	-21.8185	Intermediate
HG02084	-19.4737	High
HG02085	-21.0245	Intermediate
HG02086	-21.530900000000003	Intermediate
HG02087	-26.048600000000004	Low
HG02088	-21.7396	Intermediate
HG02089	-21.4302	Intermediate
HG02090	-25.6393	Low
HG02095	-22.612499999999997	Intermediate
HG02102	-23.3458	Low
HG02104	-26.032699999999995	Low
HG02105	-26.199900000000007	Low
HG02107	-25.0091	Low
HG02108	-21.2693	Intermediate
HG02111	-20.5101	Intermediate
HG02113	-20.1536	High
HG02116	-23.1581	Intermediate
HG02121	-22.93679999999999	Intermediate
HG02122	-21.627700000000004	Intermediate
HG02127	-20.3822	Intermediate
HG02128	-21.260499999999997	Intermediate
HG02130	-21.347899999999992	Intermediate
HG02131	-23.540500000000005	Low
HG02133	-19.386199999999995	High
HG02134	-22.535000000000007	Intermediate
HG02136	-20.740900000000007	Intermediate
HG02137	-21.6937	Intermediate
HG02138	-24.416200000000007	Low
HG02139	-21.486899999999995	Intermediate
HG02140	-23.5526	Low
HG02141	-21.797899999999995	Intermediate
HG02142	-21.507300000000008	Intermediate
HG02143	-22.372899999999994	Intermediate
HG02144	-20.9896	Intermediate
HG02146	-23.450199999999995	Low
HG02147	-26.265899999999995	Low
HG02150	-22.209399999999995	Intermediate
HG02151	-23.3911	Low
HG02152	-21.8324	Intermediate
HG02153	-22.5688	Intermediate
HG02154	-21.998500000000003	Intermediate
HG02155	-21.4884	Intermediate
HG02156	-22.536300000000004	Intermediate
HG02164	-22.7142	Intermediate
HG02165	-22.978800000000003	Intermediate
HG02166	-19.419600000000003	High
HG02178	-22.1474	Intermediate
HG02179	-20.9429	Intermediate
HG02180	-22.1621	Intermediate
HG02181	-24.536200000000004	Low
HG02182	-21.061499999999995	Intermediate
HG02184	-23.3895	Low
HG02185	-21.767199999999995	Intermediate
HG02186	-21.521199999999997	Intermediate
