IID	PRS	Risk_Group
HG00381	-5.0141670000000005	Low
HG00382	-0.0218629999999998	High
HG00383	-3.548989999999999	Intermediate
HG00384	-5.3755289	Low
HG00403	-2.8515039	Intermediate
HG00404	-4.2195488	Low
HG00406	-2.9065392	Intermediate
HG00407	-1.8592944	Intermediate
HG00409	-3.24623555	Intermediate
HG00410	-3.0456471999999994	Intermediate
HG00419	-3.1916892699999995	Intermediate
HG00421	-4.4038643	Low
HG00422	-4.499335200000001	Low
HG00428	-3.4315914000000003	Intermediate
HG00436	-4.49902896	Low
HG00437	-2.1204065	Intermediate
HG00442	-2.5992784	Intermediate
HG00443	-3.5982140100000004	Low
HG00445	-3.0807348	Intermediate
HG00446	-2.3701323999999997	Intermediate
HG00448	-2.4832130560000003	Intermediate
HG00449	-2.9896096000000005	Intermediate
HG00451	-3.9657275	Low
HG00452	-3.2423847	Intermediate
HG00457	-2.2184306299999994	Intermediate
HG00458	-4.1625044	Low
HG00463	-3.5444305	Intermediate
HG00464	-2.2219984	Intermediate
HG00472	-2.67595959	Intermediate
HG00473	-2.866735299999999	Intermediate
HG00475	-2.9947752	Intermediate
HG00476	-3.1062749000000007	Intermediate
HG00478	-2.3279611999999994	Intermediate
HG00479	-3.500209	Intermediate
HG00500	-3.5173389	Intermediate
HG00513	-3.6755619900000007	Low
HG00524	-4.41571456	Low
HG00525	-3.290426299999999	Intermediate
HG00530	-3.2111028999999998	Intermediate
HG00531	-3.589544699999999	Low
HG00533	-3.1629536	Intermediate
HG00534	-2.5886800000000005	Intermediate
HG00536	-3.50005524	Intermediate
HG00537	-3.381506800000001	Intermediate
HG00542	-3.375175876000001	Intermediate
HG00543	-3.5585570599999987	Intermediate
HG00551	-2.279311769999999	Intermediate
HG00553	-2.582657980000001	Intermediate
HG00554	-2.3907652000000006	Intermediate
HG00556	-4.08695533	Low
HG00557	-2.5705787	Intermediate
HG00559	-2.41265992	Intermediate
HG00560	-2.4958434000000005	Intermediate
HG00565	-3.0059825	Intermediate
HG00566	-2.5987586299999994	Intermediate
HG00580	-3.8175633000000007	Low
HG00581	-4.471178899999999	Low
HG00583	-3.1404745200000006	Intermediate
HG00584	-2.5995801999999992	Intermediate
HG00589	-2.872247599999999	Intermediate
HG00590	-2.7486424	Intermediate
HG00592	-3.493322500000001	Intermediate
HG00593	-2.2736417399999995	Intermediate
HG00595	-1.9067736000000008	Intermediate
HG00596	-2.0516076	Intermediate
HG00598	-3.3263894000000005	Intermediate
HG00599	-3.4955538199999987	Intermediate
HG00607	-1.88249756	Intermediate
HG00608	-4.1178287000000005	Low
HG00610	-3.03787318	Intermediate
HG00611	-2.98923895	Intermediate
HG00613	-2.860894000000001	Intermediate
HG00614	-2.7954497	Intermediate
HG00619	-3.7136005	Low
HG00620	-2.3994803000000005	Intermediate
HG00622	-2.9467254	Intermediate
HG00623	-4.1512511	Low
HG00625	-1.5491194000000004	Intermediate
HG00626	-2.42316451	Intermediate
HG00628	-3.0349920000000004	Intermediate
HG00629	-4.629238699999999	Low
HG00631	-2.70363817	Intermediate
HG00632	-1.6510199200000004	Intermediate
HG00634	-1.8856435999999996	Intermediate
HG00637	-4.03464231	Low
HG00638	-4.375664899999999	Low
HG00640	-3.5659652000000004	Low
HG00641	-1.137513800000001	High
HG00650	-4.016381328	Low
HG00651	-2.8851834000000003	Intermediate
HG00653	-2.24165011	Intermediate
HG00654	-0.7209831999999999	High
HG00656	-3.1320404000000006	Intermediate
HG00657	-2.8643302000000004	Intermediate
HG00662	-3.4905302000000007	Intermediate
HG00663	-1.4441124000000003	Intermediate
HG00671	-2.8436083	Intermediate
HG00672	-3.2897575	Intermediate
HG00674	-4.5153024	Low
HG00675	-2.1727672	Intermediate
HG00683	-3.5732548800000004	Low
HG00684	-2.7433119999999995	Intermediate
HG00689	-3.5715890000000003	Low
HG00690	-2.1641925199999994	Intermediate
HG00692	-2.7704341	Intermediate
HG00693	-3.2392721	Intermediate
HG00698	-2.591108	Intermediate
HG00699	-2.2235196000000004	Intermediate
HG00701	-2.144158100000001	Intermediate
HG00704	-2.01884871	Intermediate
HG00705	-2.6495963499999995	Intermediate
HG00707	-2.1853033	Intermediate
HG00708	-3.4715156	Intermediate
HG00717	-3.04981089	Intermediate
HG00728	-1.6289333	Intermediate
HG00729	-3.9307975	Low
HG00731	-4.044690071000001	Low
HG00732	-2.0207431000000007	Intermediate
HG00734	-2.003598	Intermediate
HG00736	-3.2470753	Intermediate
HG00737	-3.1523093	Intermediate
HG00739	-4.120219	Low
HG00740	-4.4696017	Low
HG00742	-3.38690765	Intermediate
HG00743	-3.6057496	Low
HG00759	-2.6730263	Intermediate
HG00766	-2.25659378	Intermediate
HG00844	-4.57603027	Low
HG00851	-1.7945019000000004	Intermediate
HG00864	-3.0061563	Intermediate
HG00867	-2.6986837999999995	Intermediate
HG00879	-4.669199199999999	Low
HG00881	-4.283186300000001	Low
HG00956	-3.3614317	Intermediate
HG00978	-2.9288781000000013	Intermediate
HG00982	-1.6646511999999996	Intermediate
HG01028	-2.0639543	Intermediate
HG01029	-3.29116349	Intermediate
HG01031	-1.6763735000000004	Intermediate
HG01046	-2.7564575200000005	Intermediate
HG01047	-3.3214292	Intermediate
HG01048	-3.0877054999999998	Intermediate
HG01049	-0.733444	High
HG01051	-2.0699879	Intermediate
HG01052	-1.8266243	Intermediate
HG01054	-2.46519723	Intermediate
HG01055	-3.5119113000000013	Intermediate
HG01058	-2.8791975999999995	Intermediate
HG01060	-2.904871500000001	Intermediate
HG01061	-3.22784	Intermediate
HG01063	-2.8061976	Intermediate
HG01064	-1.8581351	Intermediate
HG01066	-3.441121199999999	Intermediate
HG01067	-4.3277688	Low
HG01069	-2.3936009000000005	Intermediate
HG01070	-2.8246174	Intermediate
HG01072	-1.0569694799999996	High
HG01073	-3.272943	Intermediate
HG01075	-2.6141163	Intermediate
HG01077	-3.1893221	Intermediate
HG01079	-3.6775990000000007	Low
HG01080	-0.4106252000000002	High
HG01082	-3.3195206000000006	Intermediate
HG01083	-3.995996500000001	Low
HG01085	-4.1772121	Low
HG01086	-2.6938673	Intermediate
HG01088	-3.6777105	Low
HG01089	-4.620346100000001	Low
HG01092	-2.7757823000000004	Intermediate
HG01094	-3.6908841	Low
HG01095	-2.945844364200001	Intermediate
HG01097	-1.9237824	Intermediate
HG01098	-2.4377942000000004	Intermediate
HG01101	-4.084949	Low
HG01102	-2.0341127	Intermediate
HG01104	-2.121004799999999	Intermediate
HG01105	-3.1328273000000006	Intermediate
HG01107	-2.8573722	Intermediate
HG01108	-3.2739768	Intermediate
HG01110	-1.8117815000000008	Intermediate
HG01111	-2.8330015000000004	Intermediate
HG01112	-4.0525935	Low
HG01113	-2.94726743	Intermediate
HG01119	-2.3559286000000004	Intermediate
HG01121	-3.3405087870000005	Intermediate
HG01122	-1.6248308	Intermediate
HG01124	-3.0180838	Intermediate
HG01125	-3.2773345000000003	Intermediate
HG01130	-2.1929332	Intermediate
HG01131	-2.080143600000001	Intermediate
HG01133	-4.166010399999999	Low
HG01134	-3.1142773000000004	Intermediate
HG01136	-3.3054280999999994	Intermediate
HG01137	-1.0418881400000006	High
HG01139	-2.6191799	Intermediate
HG01140	-2.6421898000000006	Intermediate
HG01142	1.1287029000000004	High
HG01148	-2.4319468000000004	Intermediate
HG01149	-4.200530000000001	Low
HG01161	-3.328380000000001	Intermediate
HG01162	-4.209406550000001	Low
HG01164	-2.441661085	Intermediate
HG01167	-1.5992233999999996	Intermediate
HG01168	-3.2822663080000005	Intermediate
HG01170	-3.360890200000001	Intermediate
HG01171	-3.375306039999999	Intermediate
HG01173	-0.6279787000000011	High
HG01174	-3.47350323	Intermediate
HG01176	-3.2608598000000004	Intermediate
HG01177	-3.654958399999999	Low
HG01182	-3.5474551	Intermediate
HG01183	-2.568335600000001	Intermediate
HG01187	-2.8603280800000004	Intermediate
HG01188	-4.396346299999999	Low
HG01190	-2.3448294000000014	Intermediate
HG01191	-1.4247409999999991	Intermediate
HG01197	-3.335437499999999	Intermediate
HG01198	-3.4625245	Intermediate
HG01200	-3.5694721	Low
HG01204	-3.98975022	Low
HG01205	-2.7673734200000006	Intermediate
HG01241	0.1496176999999998	High
HG01242	-2.4631821000000005	Intermediate
HG01247	-2.53603169	Intermediate
HG01248	-3.856240400000001	Low
HG01250	-4.039963300000001	Low
HG01251	-3.8783674000000015	Low
HG01253	-2.962832100000001	Intermediate
HG01254	-3.1768494999999994	Intermediate
HG01256	-3.1685127	Intermediate
HG01257	-2.30467623	Intermediate
HG01259	-3.673250199999999	Low
HG01260	-3.674921999999999	Low
HG01269	-3.0518755	Intermediate
HG01271	-3.7311764	Low
HG01272	-2.2098150000000003	Intermediate
HG01275	-1.0130900100000004	High
HG01277	-4.469866999999998	Low
HG01280	-1.2670312799999994	High
HG01281	-3.823609	Low
HG01284	-0.7007771300000001	High
HG01286	-2.02369634	Intermediate
