Relative_PRS_Group	count	mean	std	min	max	Percentage
Low	501	-0.5546243240173081	0.17228963775973813	-1.2400753491570002	-0.3575556199341999	20.007987220447284
Intermediate	1502	-0.0843993452404998	0.15064508297039175	-0.3574691538919999	0.201160111516	59.98402555910543
High	501	0.3702388556280336	0.14041789891080267	0.2011807614234499	0.931182230545	20.007987220447284
