IID	PRS	Risk_Group
HG00381	-1.023222	Intermediate
HG00382	-1.114464	Intermediate
HG00383	-0.7152629999999999	Intermediate
HG00384	-1.888865	Low
HG00403	-0.958446	Intermediate
HG00404	-0.490278	High
HG00406	-0.903729	Intermediate
HG00407	-0.506374	High
HG00409	-1.147421	Low
HG00410	-0.9369690000000002	Intermediate
HG00419	-0.8978740000000001	Intermediate
HG00421	-0.709461	Intermediate
HG00422	-1.2066979999999998	Low
HG00428	-0.7386299999999999	Intermediate
HG00436	-1.0922830000000003	Intermediate
HG00437	-1.038162	Intermediate
HG00442	-0.417556	High
HG00443	-0.6245399999999999	Intermediate
HG00445	-0.595885	Intermediate
HG00446	-0.6090660000000001	Intermediate
HG00448	-1.1662100000000002	Low
HG00449	-0.613024	Intermediate
HG00451	-1.29111	Low
HG00452	-0.985153	Intermediate
HG00457	-0.5921810000000001	Intermediate
HG00458	-0.648088	Intermediate
HG00463	-0.8462730000000002	Intermediate
HG00464	-0.927508	Intermediate
HG00472	-0.8153549999999999	Intermediate
HG00473	-0.8867710000000001	Intermediate
HG00475	-0.5952609999999999	Intermediate
HG00476	-1.0492769999999998	Intermediate
HG00478	-0.8379699999999998	Intermediate
HG00479	-0.7884640000000002	Intermediate
HG00500	-0.7951440000000001	Intermediate
HG00513	-0.8260529999999997	Intermediate
HG00524	-0.484803	High
HG00525	-1.095883	Intermediate
HG00530	-0.546693	High
HG00531	-0.6099570000000002	Intermediate
HG00533	-0.7940029999999999	Intermediate
HG00534	-1.156899	Low
HG00536	-1.136458	Low
HG00537	-0.8049059999999999	Intermediate
HG00542	-0.6529309999999999	Intermediate
HG00543	-1.0332370000000002	Intermediate
HG00551	-0.774505	Intermediate
HG00553	-1.876254	Low
HG00554	-0.749287	Intermediate
HG00556	-0.9384860000000002	Intermediate
HG00557	-0.901666	Intermediate
HG00559	-0.749291	Intermediate
HG00560	-0.7697840000000001	Intermediate
HG00565	-0.8769289999999998	Intermediate
HG00566	-1.4024060000000005	Low
HG00580	-0.7157070000000001	Intermediate
HG00581	-1.035755	Intermediate
HG00583	-0.649896	Intermediate
HG00584	-0.95064	Intermediate
HG00589	-0.6813650000000002	Intermediate
HG00590	-0.7721600000000003	Intermediate
HG00592	-0.4688960000000001	High
HG00593	-0.8649540000000001	Intermediate
HG00595	-0.645555	Intermediate
HG00596	-0.621959	Intermediate
HG00598	-0.419356	High
HG00599	-1.3149	Low
HG00607	-1.027114	Intermediate
HG00608	-0.6085840000000001	Intermediate
HG00610	0.003725	High
HG00611	-1.287809	Low
HG00613	-0.5778550000000001	Intermediate
HG00614	-0.677395	Intermediate
HG00619	-0.6047049999999999	Intermediate
HG00620	-0.90545	Intermediate
HG00622	-0.853629	Intermediate
HG00623	-0.7087669999999999	Intermediate
HG00625	-0.5808859999999999	Intermediate
HG00626	-0.9992680000000002	Intermediate
HG00628	-0.902563	Intermediate
HG00629	-0.7908850000000002	Intermediate
HG00631	-1.030299	Intermediate
HG00632	-0.6538839999999999	Intermediate
HG00634	-0.5702219999999999	High
HG00637	-1.4136519999999997	Low
HG00638	-1.073773	Intermediate
HG00640	-1.175135	Low
HG00641	-1.0104779999999998	Intermediate
HG00650	-0.537085	High
HG00651	-0.8242189999999999	Intermediate
HG00653	-1.152118	Low
HG00654	-0.8152310000000003	Intermediate
HG00656	-0.6139420000000001	Intermediate
HG00657	-0.92644	Intermediate
HG00662	-0.7645030000000002	Intermediate
HG00663	-0.6374909999999998	Intermediate
HG00671	-0.676535	Intermediate
HG00672	-1.08697	Intermediate
HG00674	-0.8936310000000002	Intermediate
HG00675	-1.1329840000000002	Intermediate
HG00683	-0.916326	Intermediate
HG00684	-0.596866	Intermediate
HG00689	-1.067241	Intermediate
HG00690	-0.7941599999999998	Intermediate
HG00692	-1.0525140000000002	Intermediate
HG00693	-1.092177	Intermediate
HG00698	-0.927211	Intermediate
HG00699	-0.7437699999999999	Intermediate
HG00701	-0.742551	Intermediate
HG00704	-0.8851479999999999	Intermediate
HG00705	-1.3413099999999998	Low
HG00707	-1.16519	Low
HG00708	-0.8603649999999997	Intermediate
HG00717	-0.930194	Intermediate
HG00728	-1.052697	Intermediate
HG00729	-0.2679679999999999	High
HG00731	-1.387392	Low
HG00732	-2.047594	Low
HG00734	-0.8913919999999999	Intermediate
HG00736	-1.3713910000000002	Low
HG00737	-1.3052870000000003	Low
HG00739	-0.583387	Intermediate
HG00740	-1.2642069999999994	Low
HG00742	-1.324546	Low
HG00743	-0.906953	Intermediate
HG00759	-0.949048	Intermediate
HG00766	-0.6437729999999999	Intermediate
HG00844	-1.2453849999999995	Low
HG00851	-0.6717219999999999	Intermediate
HG00864	-0.907032	Intermediate
HG00867	-0.957594	Intermediate
HG00879	-0.6602450000000001	Intermediate
HG00881	-1.105341	Intermediate
HG00956	-0.307005	High
HG00978	-0.7297870000000002	Intermediate
HG00982	-0.5693469999999999	High
HG01028	-0.7371090000000002	Intermediate
HG01029	-0.9846470000000002	Intermediate
HG01031	-0.8947660000000001	Intermediate
HG01046	-1.0295930000000002	Intermediate
HG01047	-1.2405549999999996	Low
HG01048	-0.810992	Intermediate
HG01049	-1.003265	Intermediate
HG01051	-0.7404070000000003	Intermediate
HG01052	-0.888696	Intermediate
HG01054	-0.8182879999999999	Intermediate
HG01055	-1.2880309999999997	Low
HG01058	-0.8495210000000002	Intermediate
HG01060	-1.246903	Low
HG01061	-1.171956	Low
HG01063	-0.606978	Intermediate
HG01064	-1.152956	Low
HG01066	-0.893812	Intermediate
HG01067	-0.6520980000000001	Intermediate
HG01069	-1.075079	Intermediate
HG01070	-0.7910900000000002	Intermediate
HG01072	-0.7571009999999999	Intermediate
HG01073	-0.971283	Intermediate
HG01075	-0.9478460000000002	Intermediate
HG01077	-0.947736	Intermediate
HG01079	-0.6251599999999999	Intermediate
HG01080	-0.7143689999999999	Intermediate
HG01082	-0.903244	Intermediate
HG01083	-0.317663	High
HG01085	-0.7289380000000001	Intermediate
HG01086	-0.949188	Intermediate
HG01088	-0.947302	Intermediate
HG01089	-1.0405000000000002	Intermediate
HG01092	-1.0179359999999995	Intermediate
HG01094	-1.477583	Low
HG01095	-0.9083279999999998	Intermediate
HG01097	-0.8560890000000001	Intermediate
HG01098	-0.470657	High
HG01101	-1.2809659999999998	Low
HG01102	-0.9353189999999998	Intermediate
HG01104	-0.6702659999999999	Intermediate
HG01105	-0.8194070000000001	Intermediate
HG01107	-1.0128610000000002	Intermediate
HG01108	-0.428292	High
HG01110	-0.6640969999999999	Intermediate
HG01111	-0.9191289999999998	Intermediate
HG01112	-0.431381	High
HG01113	-0.7707870000000002	Intermediate
HG01119	-1.305943	Low
HG01121	-0.8789140000000002	Intermediate
HG01122	-0.3190159999999999	High
HG01124	-0.7521719999999997	Intermediate
HG01125	-0.7183	Intermediate
HG01130	-0.8713100000000001	Intermediate
HG01131	-0.7950810000000001	Intermediate
HG01133	-0.773439	Intermediate
HG01134	-0.5359180000000001	High
HG01136	-0.8529740000000003	Intermediate
HG01137	-0.637205	Intermediate
HG01139	-0.340489	High
HG01140	-0.4657869999999999	High
HG01142	-0.8891810000000001	Intermediate
HG01148	-1.788423	Low
HG01149	-0.7273029999999998	Intermediate
HG01161	-1.210776	Low
HG01162	-1.507061	Low
HG01164	-0.5539010000000001	High
HG01167	0.206117	High
HG01168	-0.7867109999999998	Intermediate
HG01170	-0.7193640000000001	Intermediate
HG01171	-1.024617	Intermediate
HG01173	-0.7426419999999998	Intermediate
HG01174	-0.992741	Intermediate
HG01176	-0.544838	High
HG01177	-1.111636	Intermediate
HG01182	-0.988362	Intermediate
HG01183	-1.0703460000000005	Intermediate
HG01187	-1.0923580000000002	Intermediate
HG01188	-0.780789	Intermediate
HG01190	-0.2420309999999999	High
HG01191	-0.836507	Intermediate
HG01197	-0.80767	Intermediate
HG01198	-1.1246459999999998	Intermediate
HG01200	-0.7809340000000001	Intermediate
HG01204	-0.784686	Intermediate
HG01205	-1.0100129999999998	Intermediate
HG01241	-0.4828280000000002	High
HG01242	-0.551117	High
HG01247	-1.3927040000000002	Low
HG01248	-0.865681	Intermediate
HG01250	-1.006396	Intermediate
HG01251	-0.2460979999999999	High
HG01253	-0.6437870000000001	Intermediate
HG01254	-0.694901	Intermediate
HG01256	-1.2378539999999998	Low
HG01257	-0.8729509999999999	Intermediate
HG01259	-0.4839690000000002	High
HG01260	-0.94009	Intermediate
HG01269	-1.192081	Low
HG01271	-1.087071	Intermediate
HG01272	-0.261993	High
HG01275	-1.238833	Low
HG01277	-1.0610210000000002	Intermediate
HG01280	-0.1647029999999999	High
HG01281	-1.202735	Low
HG01284	-0.4826249999999999	High
HG01286	-0.5019030000000001	High
HG01302	-0.843102	Intermediate
HG01303	-0.953175	Intermediate
HG01305	-0.5131620000000001	High
HG01308	-0.334684	High
HG01311	-0.8226590000000001	Intermediate
HG01312	-1.046573	Intermediate
HG01323	-1.208876	Low
HG01325	-0.83117	Intermediate
HG01326	-1.1467490000000002	Low
HG01334	-1.310375	Low
HG01341	-0.7495909999999999	Intermediate
HG01342	-0.6391229999999999	Intermediate
HG01344	-0.939897	Intermediate
HG01345	-1.1915369999999998	Low
HG01348	-1.051912	Intermediate
HG01350	-0.921183	Intermediate
HG01351	-0.1944499999999999	High
HG01353	-0.946907	Intermediate
HG01354	-0.9864840000000004	Intermediate
HG01356	-0.9439809999999998	Intermediate
HG01357	-0.6453329999999999	Intermediate
HG01359	-0.749255	Intermediate
HG01360	-0.9964119999999996	Intermediate
HG01362	-0.936054	Intermediate
HG01363	-0.816108	Intermediate
HG01365	-1.204009	Low
HG01366	-0.479202	High
HG01369	-0.412853	High
HG01372	-0.7653209999999998	Intermediate
HG01374	-1.050074	Intermediate
HG01375	-0.4069009999999999	High
HG01377	-1.3028620000000002	Low
HG01378	-0.950546	Intermediate
HG01383	-1.3262770000000002	Low
HG01384	-0.523081	High
HG01389	-0.4463040000000002	High
HG01390	-0.4424090000000003	High
HG01392	-0.5547930000000002	High
HG01393	-0.9372080000000004	Intermediate
HG01395	-0.6853740000000001	Intermediate
HG01396	-1.207477	Low
HG01398	-0.709219	Intermediate
HG01402	-1.069597	Intermediate
HG01403	-1.304005	Low
HG01405	-1.339616	Low
HG01412	-1.1041190000000003	Intermediate
HG01413	-0.7860689999999998	Intermediate
HG01414	-1.4770629999999998	Low
HG01431	-0.5854429999999998	Intermediate
HG01432	-0.911127	Intermediate
HG01435	-0.900739	Intermediate
HG01437	-1.181042	Low
HG01438	-1.1979879999999996	Low
HG01440	-1.337139	Low
HG01441	-0.7574919999999999	Intermediate
HG01443	-0.8796190000000002	Intermediate
HG01444	-1.084477	Intermediate
HG01447	-0.9951180000000002	Intermediate
HG01455	-1.1928919999999998	Low
HG01456	-1.09511	Intermediate
HG01459	-1.2404269999999995	Low
HG01461	-0.7267239999999999	Intermediate
HG01462	-0.6467700000000001	Intermediate
HG01464	-0.25064	High
HG01465	-0.818966	Intermediate
HG01468	-1.0023450000000005	Intermediate
HG01474	-0.3917949999999999	High
HG01479	-1.357652	Low
HG01485	-0.722226	Intermediate
HG01486	-1.3451379999999995	Low
HG01488	-1.188137	Low
HG01489	-1.059774	Intermediate
HG01491	-0.8205050000000002	Intermediate
HG01492	-1.2483889999999995	Low
HG01494	-1.041316	Intermediate
HG01495	-0.6967759999999996	Intermediate
HG01497	-0.8779240000000001	Intermediate
HG01498	-0.7442340000000001	Intermediate
HG01500	-1.215559	Low
HG01501	-0.678154	Intermediate
HG01503	-1.259851	Low
HG01504	-0.478287	High
HG01506	-1.199593	Low
HG01507	-1.10906	Intermediate
HG01509	-1.554558	Low
HG01510	-1.38794	Low
HG01512	-1.220295	Low
HG01513	-1.072817	Intermediate
HG01515	-0.9328229999999998	Intermediate
HG01516	-1.2739060000000002	Low
HG01518	-1.1010609999999998	Intermediate
HG01519	-1.257733	Low
HG01521	-0.7844650000000001	Intermediate
HG01522	-1.180241	Low
HG01524	-0.888628	Intermediate
HG01525	-1.5735549999999998	Low
HG01527	-0.968889	Intermediate
HG01528	-0.8747659999999999	Intermediate
HG01530	-1.161899	Low
HG01531	-1.040315	Intermediate
HG01536	-1.21718	Low
HG01537	-1.5574900000000005	Low
HG01550	-0.336965	High
HG01551	-0.6377839999999999	Intermediate
HG01556	-1.025786	Intermediate
HG01565	-0.689121	Intermediate
HG01566	-1.1802110000000003	Low
HG01571	-0.8901709999999998	Intermediate
HG01572	-0.367884	High
HG01577	-0.8865719999999998	Intermediate
HG01578	-1.4285539999999997	Low
HG01583	-0.7414630000000002	Intermediate
HG01586	-0.8955220000000002	Intermediate
HG01589	-1.009748	Intermediate
HG01593	-0.982724	Intermediate
HG01595	-0.4689360000000001	High
HG01596	-1.10072	Intermediate
HG01597	-0.4432819999999999	High
HG01598	-1.032034	Intermediate
HG01599	-0.378229	High
HG01600	-1.2167960000000002	Low
HG01602	-1.2467470000000005	Low
HG01603	-0.8054969999999998	Intermediate
HG01605	-1.3348620000000002	Low
HG01606	-1.3623029999999998	Low
HG01607	-0.5954190000000003	Intermediate
HG01608	-0.9098080000000002	Intermediate
HG01610	-1.2821919999999996	Low
HG01612	-1.317599	Low
HG01613	-1.0368689999999998	Intermediate
HG01615	-0.677698	Intermediate
HG01617	-0.997194	Intermediate
HG01618	-0.987099	Intermediate
HG01619	-1.505236	Low
HG01620	-1.2214110000000002	Low
HG01623	-0.5934489999999999	Intermediate
HG01624	-0.5726060000000002	Intermediate
HG01625	-1.2060230000000003	Low
HG01626	-1.57991	Low
HG01628	-1.3522970000000003	Low
HG01630	-0.910319	Intermediate
HG01631	-1.109328	Intermediate
HG01632	-1.137801	Low
HG01668	-0.6883959999999999	Intermediate
HG01669	-1.0560189999999998	Intermediate
HG01670	-1.30413	Low
HG01672	-1.558593	Low
HG01673	-0.9931489999999998	Intermediate
HG01675	-1.165056	Low
HG01676	-1.3240400000000003	Low
HG01678	-1.538102	Low
HG01679	-0.9722010000000002	Intermediate
HG01680	-1.1790459999999998	Low
HG01682	-1.362073	Low
HG01684	-0.8398559999999998	Intermediate
HG01685	-1.47244	Low
HG01686	-1.3122499999999997	Low
HG01694	-1.7749750000000006	Low
HG01695	-1.4550539999999998	Low
HG01697	-1.1151059999999997	Intermediate
HG01699	-1.1430049999999998	Low
HG01700	-0.8489680000000003	Intermediate
HG01702	-1.530649	Low
HG01704	-1.2551019999999995	Low
HG01705	-0.8094219999999999	Intermediate
HG01707	-1.570083	Low
HG01708	-0.8192539999999999	Intermediate
HG01709	-1.074902	Intermediate
HG01710	-1.055886	Intermediate
HG01746	-1.046868	Intermediate
HG01747	-1.0143479999999998	Intermediate
HG01756	-0.8976679999999999	Intermediate
HG01757	-1.364036	Low
HG01761	-0.839485	Intermediate
HG01762	-1.456303	Low
HG01765	-1.4085210000000004	Low
HG01766	-1.040676	Intermediate
HG01767	-0.3919459999999999	High
HG01768	-1.4376479999999998	Low
HG01770	-0.6763280000000002	Intermediate
HG01771	-1.2713340000000004	Low
HG01773	-0.923364	Intermediate
HG01775	-0.964008	Intermediate
HG01776	-1.4509739999999998	Low
HG01777	-1.3744599999999996	Low
HG01779	-0.7470209999999999	Intermediate
HG01781	-0.947859	Intermediate
HG01783	-1.219965	Low
HG01784	-1.396953	Low
HG01785	-1.0796459999999997	Intermediate
HG01786	-1.358399	Low
HG01789	-0.961444	Intermediate
HG01790	-1.6788270000000003	Low
HG01791	-1.1658369999999998	Low
HG01794	-0.9099490000000002	Intermediate
HG01795	-0.8018759999999999	Intermediate
HG01796	-0.490712	High
HG01797	-0.6279559999999998	Intermediate
HG01798	-0.4698469999999999	High
HG01799	-0.9361940000000002	Intermediate
HG01800	-0.9156	Intermediate
HG01801	-0.6370759999999999	Intermediate
HG01802	-0.486367	High
HG01804	-1.0514150000000002	Intermediate
HG01805	-0.8177249999999999	Intermediate
HG01806	-0.6770309999999998	Intermediate
HG01807	-0.933177	Intermediate
HG01808	-1.0636960000000002	Intermediate
HG01809	-0.7839230000000001	Intermediate
HG01810	-0.923402	Intermediate
HG01811	-1.007296	Intermediate
HG01812	-0.732142	Intermediate
HG01813	-0.8082820000000001	Intermediate
HG01815	-1.293934	Low
HG01816	-1.256337	Low
HG01817	-0.975888	Intermediate
HG01840	-0.7076100000000002	Intermediate
HG01841	-1.0699489999999998	Intermediate
HG01842	-0.9182900000000002	Intermediate
HG01843	-0.627064	Intermediate
HG01844	-0.8527269999999999	Intermediate
HG01845	-0.7262419999999999	Intermediate
HG01846	-1.015656	Intermediate
HG01847	-0.951613	Intermediate
HG01848	-0.771859	Intermediate
HG01849	-0.5098700000000002	High
HG01850	-0.785409	Intermediate
HG01851	-0.74943	Intermediate
HG01852	-0.8102969999999999	Intermediate
HG01853	-1.1708379999999998	Low
HG01855	-1.515103	Low
HG01857	-0.4635810000000001	High
HG01858	-0.482166	High
HG01859	-0.8563940000000001	Intermediate
HG01860	-0.817964	Intermediate
HG01861	-1.044945	Intermediate
HG01862	-0.348801	High
HG01863	-0.5065450000000001	High
HG01864	-0.8698480000000001	Intermediate
HG01865	-1.2932629999999996	Low
HG01866	-0.929431	Intermediate
HG01867	-0.922526	Intermediate
HG01868	-0.7313099999999999	Intermediate
HG01869	-1.168876	Low
HG01870	-0.629881	Intermediate
HG01871	-0.7733299999999999	Intermediate
HG01872	-0.973117	Intermediate
HG01873	-0.915028	Intermediate
HG01874	-0.4710869999999999	High
HG01878	-1.009243	Intermediate
HG01879	-0.886493	Intermediate
HG01880	-0.6229580000000002	Intermediate
HG01882	-0.7863749999999999	Intermediate
HG01883	-0.931007	Intermediate
HG01885	-0.698501	Intermediate
HG01886	-0.4705260000000001	High
HG01889	-0.18105	High
HG01890	-0.7297330000000001	Intermediate
HG01892	-0.7660979999999998	Intermediate
HG01893	-0.916511	Intermediate
HG01894	-0.5706969999999999	High
HG01896	-0.836335	Intermediate
HG01912	-0.7069500000000001	Intermediate
HG01914	-0.705487	Intermediate
HG01915	-0.6654209999999999	Intermediate
HG01917	-0.5956959999999999	Intermediate
HG01918	-0.5612450000000001	High
HG01920	-0.970577	Intermediate
HG01921	-1.022485	Intermediate
HG01923	-0.739585	Intermediate
HG01924	-0.51909	High
HG01926	-0.8261080000000001	Intermediate
HG01927	-0.6881959999999999	Intermediate
HG01932	-0.930044	Intermediate
HG01933	-0.6999460000000001	Intermediate
HG01935	-0.964136	Intermediate
HG01936	-0.476775	High
HG01938	-0.8326330000000002	Intermediate
HG01939	-0.560685	High
HG01941	-1.059805	Intermediate
HG01942	-1.2484130000000002	Low
HG01944	-1.203747	Low
HG01945	-0.73395	Intermediate
HG01947	-0.755403	Intermediate
HG01948	-1.070269	Intermediate
HG01950	-1.195746	Low
HG01951	-0.730961	Intermediate
HG01953	-0.4444589999999999	High
HG01954	-0.971271	Intermediate
HG01956	-0.5965419999999999	Intermediate
HG01958	-0.862318	Intermediate
HG01961	-0.7634649999999998	Intermediate
HG01965	-1.064864	Intermediate
HG01967	0.1589999999999999	High
HG01968	-0.432496	High
HG01970	-0.7317719999999998	Intermediate
HG01971	-0.9275779999999996	Intermediate
HG01973	-0.5549810000000001	High
HG01974	-0.6369370000000001	Intermediate
HG01976	-1.1723040000000005	Low
HG01977	-0.6130650000000002	Intermediate
HG01979	-0.7606750000000001	Intermediate
HG01980	-1.027402	Intermediate
HG01982	-0.664489	Intermediate
HG01985	-0.520715	High
HG01986	-1.082442	Intermediate
HG01988	-1.0295900000000004	Intermediate
HG01989	-0.976354	Intermediate
HG01990	-0.6824140000000001	Intermediate
HG01991	-0.5839719999999998	Intermediate
HG01992	-0.8433870000000002	Intermediate
HG01997	-0.796774	Intermediate
HG02002	-1.155879	Low
HG02003	-0.7502699999999999	Intermediate
HG02006	-0.712249	Intermediate
HG02008	-0.776756	Intermediate
HG02009	-0.5240820000000002	High
HG02010	-0.672583	Intermediate
HG02012	-0.6050230000000001	Intermediate
HG02013	-0.494092	High
HG02014	-0.495361	High
HG02016	-0.885435	Intermediate
HG02017	-0.8644290000000001	Intermediate
HG02019	-0.7310019999999999	Intermediate
